StudentID,Name,PhysicsMarks,ChemistryMarks,MathematicsMarks,PCM Average,CETMarks
1,Student_1,94,96,62,84,69
2,Student_2,97,99,52,82.66666667,52
3,Student_3,50,74,66,63.33333333,60
4,Student_4,53,90,87,76.66666667,68
5,Student_5,53,72,71,65.33333333,61
6,Student_6,89,100,88,92.33333333,100
7,Student_7,59,79,89,75.66666667,93
8,Student_8,69,90,59,72.66666667,50
9,Student_9,71,95,75,80.33333333,60
10,Student_10,100,100,98,99.33333333,97
11,Student_11,86,66,64,72,66
12,Student_12,73,89,63,75,78
13,Student_13,56,61,100,72.33333333,93
14,Student_14,74,82,96,84,62
15,Student_15,74,90,97,87,79
16,Student_16,62,77,59,66,67
17,Student_17,51,62,76,63,60
18,Student_18,88,64,98,83.33333333,51
19,Student_19,89,100,69,86,55
20,Student_20,73,63,90,75.33333333,89
21,Student_21,96,51,57,68,78
22,Student_22,74,81,63,72.66666667,58
23,Student_23,67,98,63,76,82
24,Student_24,87,99,76,87.33333333,90
25,Student_25,75,59,52,62,65
26,Student_26,63,91,62,72,51
27,Student_27,58,64,60,60.66666667,88
28,Student_28,59,65,51,58.33333333,83
29,Student_29,70,61,57,62.66666667,97
30,Student_30,66,54,99,73,97
31,Student_31,55,83,63,67,63
32,Student_32,65,95,70,76.66666667,93
33,Student_33,97,91,63,83.66666667,80
34,Student_34,50,77,93,73.33333333,59
35,Student_35,68,100,83,83.66666667,93
36,Student_36,85,81,73,79.66666667,79
37,Student_37,74,67,96,79,56
38,Student_38,99,65,100,88,69
39,Student_39,79,88,78,81.66666667,72
40,Student_40,69,52,85,68.66666667,72
41,Student_41,69,71,97,79,90
42,Student_42,64,85,92,80.33333333,72
43,Student_43,89,67,96,84,61
44,Student_44,82,89,85,85.33333333,54
45,Student_45,51,80,76,69,64
46,Student_46,59,99,65,74.33333333,86
47,Student_47,82,59,91,77.33333333,59
48,Student_48,81,75,99,85,63
49,Student_49,60,79,100,79.66666667,65
50,Student_50,73,98,93,88,60
51,Student_51,85,52,75,70.66666667,73
52,Student_52,61,98,94,84.33333333,92
53,Student_53,100,50,82,77.33333333,69
54,Student_54,78,99,78,85,74
55,Student_55,84,75,59,72.66666667,75
56,Student_56,50,97,93,80,92
57,Student_57,50,55,51,52,54
58,Student_58,86,70,90,82,50
59,Student_59,55,63,91,69.66666667,87
60,Student_60,88,87,67,80.66666667,73
61,Student_61,90,70,86,82,56
62,Student_62,67,93,81,80.33333333,77
63,Student_63,65,80,89,78,58
64,Student_64,54,52,58,54.66666667,57
65,Student_65,91,87,61,79.66666667,95
66,Student_66,92,72,61,75,96
67,Student_67,81,79,97,85.66666667,71
68,Student_68,51,70,67,62.66666667,60
69,Student_69,51,51,94,65.33333333,55
70,Student_70,89,91,87,89,90
71,Student_71,91,72,55,72.66666667,71
72,Student_72,85,57,51,64.33333333,50
73,Student_73,88,88,64,80,95
74,Student_74,61,66,58,61.66666667,92
75,Student_75,96,78,52,75.33333333,59
76,Student_76,68,95,66,76.33333333,85
77,Student_77,77,73,69,73,70
78,Student_78,50,78,71,66.33333333,90
79,Student_79,64,96,97,85.66666667,51
80,Student_80,85,59,98,80.66666667,82
81,Student_81,62,91,81,78,86
82,Student_82,92,77,59,76,86
83,Student_83,70,65,56,63.66666667,72
84,Student_84,61,76,82,73,67
85,Student_85,54,65,51,56.66666667,74
86,Student_86,56,100,93,83,92
87,Student_87,54,96,79,76.33333333,93
88,Student_88,97,64,78,79.66666667,92
89,Student_89,53,88,80,73.66666667,62
90,Student_90,62,66,56,61.33333333,89
91,Student_91,86,79,83,82.66666667,84
92,Student_92,90,68,88,82,81
93,Student_93,64,56,50,56.66666667,71
94,Student_94,65,51,70,62,91
95,Student_95,70,67,95,77.33333333,50
96,Student_96,85,50,83,72.66666667,81
97,Student_97,73,80,51,68,73
98,Student_98,65,99,88,84,79
99,Student_99,63,51,68,60.66666667,81
100,Student_100,71,61,65,65.66666667,52
101,Student_101,98,81,68,82.33333333,87
102,Student_102,99,82,83,88,96
103,Student_103,55,60,52,55.66666667,66
104,Student_104,91,53,88,77.33333333,60
105,Student_105,85,74,51,70,76
106,Student_106,50,62,92,68,70
107,Student_107,81,76,77,78,71
108,Student_108,55,54,65,58,50
109,Student_109,80,91,54,75,89
110,Student_110,50,99,85,78,52
111,Student_111,99,64,61,74.66666667,87
112,Student_112,100,70,53,74.33333333,64
113,Student_113,86,92,61,79.66666667,76
114,Student_114,84,64,100,82.66666667,61
115,Student_115,98,54,77,76.33333333,67
116,Student_116,79,100,94,91,54
117,Student_117,53,73,80,68.66666667,90
118,Student_118,84,60,91,78.33333333,52
119,Student_119,92,100,100,97.33333333,78
120,Student_120,63,61,80,68,50
121,Student_121,98,71,97,88.66666667,55
122,Student_122,89,52,96,79,94
123,Student_123,71,61,64,65.33333333,81
124,Student_124,59,59,87,68.33333333,98
125,Student_125,50,80,64,64.66666667,75
126,Student_126,60,93,98,83.66666667,100
127,Student_127,100,90,57,82.33333333,73
128,Student_128,93,94,76,87.66666667,56
129,Student_129,73,81,67,73.66666667,92
130,Student_130,52,74,82,69.33333333,97
131,Student_131,84,58,78,73.33333333,62
132,Student_132,85,66,92,81,91
133,Student_133,80,67,88,78.33333333,92
134,Student_134,53,79,81,71,92
135,Student_135,68,79,83,76.66666667,77
136,Student_136,96,65,52,71,86
137,Student_137,85,57,62,68,94
138,Student_138,70,74,94,79.33333333,82
139,Student_139,67,60,96,74.33333333,93
140,Student_140,100,100,54,84.66666667,72
141,Student_141,77,58,94,76.33333333,51
142,Student_142,64,90,77,77,81
143,Student_143,91,60,68,73,58
144,Student_144,51,89,72,70.66666667,69
145,Student_145,86,85,81,84,70
146,Student_146,60,72,94,75.33333333,50
147,Student_147,72,94,78,81.33333333,93
148,Student_148,93,98,50,80.33333333,67
149,Student_149,90,50,60,66.66666667,69
150,Student_150,61,91,59,70.33333333,55
151,Student_151,52,67,72,63.66666667,84
152,Student_152,66,58,86,70,78
153,Student_153,82,72,56,70,79
154,Student_154,50,61,66,59,89
155,Student_155,88,79,100,89,63
156,Student_156,69,91,94,84.66666667,95
157,Student_157,96,82,68,82,81
158,Student_158,92,96,86,91.33333333,97
159,Student_159,90,69,57,72,76
160,Student_160,63,88,62,71,90
161,Student_161,80,82,93,85,76
162,Student_162,74,87,87,82.66666667,71
163,Student_163,52,97,52,67,50
164,Student_164,53,97,55,68.33333333,66
165,Student_165,80,59,90,76.33333333,75
166,Student_166,84,98,83,88.33333333,80
167,Student_167,93,78,99,90,76
168,Student_168,63,68,61,64,53
169,Student_169,98,92,60,83.33333333,54
170,Student_170,90,71,60,73.66666667,55
171,Student_171,58,80,90,76,84
172,Student_172,69,83,85,79,96
173,Student_173,81,82,99,87.33333333,58
174,Student_174,58,57,62,59,60
175,Student_175,76,88,91,85,96
176,Student_176,52,85,85,74,84
177,Student_177,53,74,61,62.66666667,98
178,Student_178,94,51,77,74,91
179,Student_179,64,68,66,66,100
180,Student_180,82,50,50,60.66666667,63
181,Student_181,54,70,78,67.33333333,68
182,Student_182,53,50,98,67,60
183,Student_183,95,58,98,83.66666667,62
184,Student_184,61,64,97,74,91
185,Student_185,72,88,62,74,85
186,Student_186,63,68,87,72.66666667,58
187,Student_187,95,52,73,73.33333333,100
188,Student_188,61,53,88,67.33333333,79
189,Student_189,66,68,84,72.66666667,54
190,Student_190,74,96,51,73.66666667,92
191,Student_191,79,100,96,91.66666667,79
192,Student_192,71,57,53,60.33333333,98
193,Student_193,96,56,90,80.66666667,61
194,Student_194,75,50,62,62.33333333,64
195,Student_195,66,58,71,65,84
196,Student_196,69,78,50,65.66666667,89
197,Student_197,83,66,69,72.66666667,50
198,Student_198,90,93,82,88.33333333,90
199,Student_199,82,81,95,86,62
200,Student_200,86,98,50,78,70
201,Student_201,56,91,68,71.66666667,79
202,Student_202,71,77,67,71.66666667,64
203,Student_203,81,59,75,71.66666667,94
204,Student_204,63,86,99,82.66666667,72
205,Student_205,57,89,55,67,70
206,Student_206,74,89,58,73.66666667,51
207,Student_207,65,57,52,58,97
208,Student_208,91,82,88,87,85
209,Student_209,68,64,57,63,76
210,Student_210,90,64,83,79,91
211,Student_211,65,85,98,82.66666667,61
212,Student_212,61,81,72,71.33333333,62
213,Student_213,88,62,59,69.66666667,89
214,Student_214,97,100,87,94.66666667,63
215,Student_215,79,60,69,69.33333333,97
216,Student_216,51,86,84,73.66666667,54
217,Student_217,81,64,68,71,53
218,Student_218,94,55,55,68,57
219,Student_219,74,65,57,65.33333333,92
220,Student_220,74,100,68,80.66666667,61
221,Student_221,53,63,59,58.33333333,95
222,Student_222,68,70,66,68,93
223,Student_223,97,90,51,79.33333333,58
224,Student_224,53,66,80,66.33333333,76
225,Student_225,92,66,75,77.66666667,50
226,Student_226,62,99,87,82.66666667,57
227,Student_227,88,77,63,76,50
228,Student_228,85,94,75,84.66666667,54
229,Student_229,72,76,81,76.33333333,86
230,Student_230,55,70,54,59.66666667,97
231,Student_231,73,91,84,82.66666667,80
232,Student_232,93,92,58,81,62
233,Student_233,82,96,50,76,64
234,Student_234,61,80,61,67.33333333,50
235,Student_235,90,83,67,80,97
236,Student_236,70,58,91,73,67
237,Student_237,60,58,89,69,71
238,Student_238,93,77,97,89,63
239,Student_239,87,79,61,75.66666667,90
240,Student_240,78,53,79,70,77
241,Student_241,97,87,83,89,85
242,Student_242,90,62,87,79.66666667,76
